SubmissionID,FeedbackTypeID,UserID,SectionID,ClassWeek,HowWasClassThisWeek,InstructorEngagement,SubmittedDate,NewLearningAchieved,HoursSpentOutsideOfClass,PaceOfClassThisWeek,AcademicSupport,MasteredConceptsCovered,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,InstructionsClarity,InstructorKnowledge
832,2,1022,6,4,3,4,"Apr 25 2017 12:37:41:630AM",5,38,5,4,1,"Apr 25 2017 12:37:41:630AM",trilogy_admin,"Apr 25 2017 12:37:41:630AM",trilogy_admin,4,5
833,2,440,21,2,4,3,"Apr 25 2017 12:39:28:353AM",5,4,3,2,2,"Apr 25 2017 12:39:28:353AM",trilogy_admin,"Apr 25 2017 12:39:28:353AM",trilogy_admin,2,5
834,2,350,6,4,5,5,"Apr 25 2017 12:47:05:797AM",5,8,3,5,3,"Apr 25 2017 12:47:05:797AM",trilogy_admin,"Apr 25 2017 12:47:05:797AM",trilogy_admin,4,5
835,2,984,20,2,5,5,"Apr 25 2017 12:54:16:073AM",5,15,5,5,4,"Apr 25 2017 12:54:16:073AM",trilogy_admin,"Apr 25 2017 12:54:16:073AM",trilogy_admin,5,5
836,2,415,15,2,5,5,"Apr 25 2017 12:55:04:273AM",3,15,5,5,3,"Apr 25 2017 12:55:04:273AM",trilogy_admin,"Apr 25 2017 12:55:04:273AM",trilogy_admin,5,5
837,2,456,16,2,4,4,"Apr 25 2017 01:00:19:447AM",4,5,4,4,3,"Apr 25 2017 01:00:19:447AM",trilogy_admin,"Apr 25 2017 01:00:19:447AM",trilogy_admin,4,5
838,2,561,16,2,4,4,"Apr 25 2017 01:04:12:770AM",5,12,5,3,2,"Apr 25 2017 01:04:12:770AM",trilogy_admin,"Apr 25 2017 01:04:12:770AM",trilogy_admin,4,4
839,2,446,16,2,4,5,"Apr 25 2017 01:06:49:620AM",4,12,5,3,3,"Apr 25 2017 01:06:49:620AM",trilogy_admin,"Apr 25 2017 01:06:49:620AM",trilogy_admin,5,5
840,2,225,8,4,5,5,"Apr 25 2017 01:07:53:943AM",4,7,5,4,5,"Apr 25 2017 01:07:53:943AM",trilogy_admin,"Apr 25 2017 01:07:53:943AM",trilogy_admin,4,5
841,2,448,16,2,5,5,"Apr 25 2017 01:09:25:573AM",5,25,3,4,3,"Apr 25 2017 01:09:25:573AM",trilogy_admin,"Apr 25 2017 01:09:25:573AM",trilogy_admin,4,5
842,2,447,16,2,4,3,"Apr 25 2017 01:11:19:540AM",4,3,4,2,3,"Apr 25 2017 01:11:19:540AM",trilogy_admin,"Apr 25 2017 01:11:19:540AM",trilogy_admin,4,5
843,2,2828,15,2,5,5,"Apr 25 2017 01:15:49:120AM",5,10,4,5,4,"Apr 25 2017 01:15:49:120AM",trilogy_admin,"Apr 25 2017 01:15:49:120AM",trilogy_admin,5,5
844,2,212,8,4,2,2,"Apr 25 2017 01:17:00:343AM",2,15,2,2,2,"Apr 25 2017 01:17:00:343AM",trilogy_admin,"Apr 25 2017 01:17:00:343AM",trilogy_admin,2,5
845,2,463,16,2,5,5,"Apr 25 2017 01:18:27:747AM",5,20,5,4,3,"Apr 25 2017 01:18:27:747AM",trilogy_admin,"Apr 25 2017 01:18:27:747AM",trilogy_admin,5,5
846,2,455,16,2,3,4,"Apr 25 2017 01:22:01:620AM",5,6,4,4,3,"Apr 25 2017 01:22:01:620AM",trilogy_admin,"Apr 25 2017 01:22:01:620AM",trilogy_admin,4,5
847,2,827,6,4,5,5,"Apr 25 2017 01:22:06:837AM",4,25,5,5,5,"Apr 25 2017 01:22:06:837AM",trilogy_admin,"Apr 25 2017 01:22:06:837AM",trilogy_admin,5,5
848,2,1023,6,4,5,5,"Apr 25 2017 01:23:40:080AM",5,22,5,5,5,"Apr 25 2017 01:23:40:080AM",trilogy_admin,"Apr 25 2017 01:23:40:080AM",trilogy_admin,5,5
849,2,217,8,4,5,5,"Apr 25 2017 01:23:55:543AM",5,10,5,5,5,"Apr 25 2017 01:23:55:543AM",trilogy_admin,"Apr 25 2017 01:23:55:543AM",trilogy_admin,5,5
850,2,451,16,2,4,4,"Apr 25 2017 01:24:15:557AM",4,15,3,4,3,"Apr 25 2017 01:24:15:557AM",trilogy_admin,"Apr 25 2017 01:24:15:557AM",trilogy_admin,3,5
851,2,1024,6,4,5,5,"Apr 25 2017 01:24:46:527AM",5,15,5,5,5,"Apr 25 2017 01:24:46:527AM",trilogy_admin,"Apr 25 2017 01:24:46:527AM",trilogy_admin,5,5
852,2,464,16,2,5,5,"Apr 25 2017 01:24:54:747AM",3,25,3,5,3,"Apr 25 2017 01:24:54:747AM",trilogy_admin,"Apr 25 2017 01:24:54:747AM",trilogy_admin,5,5
853,2,461,16,2,5,5,"Apr 25 2017 01:26:24:410AM",4,18,5,5,4,"Apr 25 2017 01:26:24:410AM",trilogy_admin,"Apr 25 2017 01:26:24:410AM",trilogy_admin,5,5
854,2,824,6,4,5,5,"Apr 25 2017 01:26:42:163AM",5,20,5,5,5,"Apr 25 2017 01:26:42:163AM",trilogy_admin,"Apr 25 2017 01:26:42:163AM",trilogy_admin,5,5
855,2,840,8,4,3,4,"Apr 25 2017 01:26:50:110AM",3,10,3,4,3,"Apr 25 2017 01:26:50:110AM",trilogy_admin,"Apr 25 2017 01:26:50:110AM",trilogy_admin,4,4
856,2,220,8,4,4,5,"Apr 25 2017 01:26:56:293AM",5,25,5,4,3,"Apr 25 2017 01:26:56:293AM",trilogy_admin,"Apr 25 2017 01:26:56:293AM",trilogy_admin,5,5
857,2,444,16,2,4,5,"Apr 25 2017 01:27:28:067AM",3,15,3,4,3,"Apr 25 2017 01:27:28:067AM",trilogy_admin,"Apr 25 2017 01:27:28:067AM",trilogy_admin,3,5
858,2,422,15,2,5,5,"Apr 25 2017 01:27:45:917AM",3,-25,4,5,2,"Apr 25 2017 01:27:45:917AM",trilogy_admin,"Apr 25 2017 01:27:45:917AM",trilogy_admin,5,5
859,2,209,8,4,4,4,"Apr 25 2017 01:28:26:063AM",5,18,2,4,2,"Apr 25 2017 01:28:26:063AM",trilogy_admin,"Apr 25 2017 01:28:26:063AM",trilogy_admin,5,5
860,2,452,16,2,5,5,"Apr 25 2017 01:28:41:557AM",5,7,5,4,5,"Apr 25 2017 01:28:41:557AM",trilogy_admin,"Apr 25 2017 01:28:41:557AM",trilogy_admin,5,5
861,2,459,16,2,5,4,"Apr 25 2017 01:28:53:427AM",5,20,4,4,3,"Apr 25 2017 01:28:53:427AM",trilogy_admin,"Apr 25 2017 01:28:53:427AM",trilogy_admin,4,5
862,2,345,6,4,5,4,"Apr 25 2017 01:28:54:110AM",5,20,5,5,5,"Apr 25 2017 01:28:54:110AM",trilogy_admin,"Apr 25 2017 01:28:54:110AM",trilogy_admin,5,5
863,2,221,8,4,4,5,"Apr 25 2017 01:29:06:960AM",5,17,4,5,3,"Apr 25 2017 01:29:06:960AM",trilogy_admin,"Apr 25 2017 01:29:06:960AM",trilogy_admin,4,5
864,2,228,8,4,5,5,"Apr 25 2017 01:30:05:593AM",5,10,5,5,5,"Apr 25 2017 01:30:05:593AM",trilogy_admin,"Apr 25 2017 01:30:05:593AM",trilogy_admin,5,5
865,2,435,15,2,5,5,"Apr 25 2017 01:30:28:733AM",5,15,5,5,5,"Apr 25 2017 01:30:28:733AM",trilogy_admin,"Apr 25 2017 01:30:28:733AM",trilogy_admin,5,5
866,2,1011,6,4,5,5,"Apr 25 2017 01:30:41:627AM",5,10,5,5,5,"Apr 25 2017 01:30:41:627AM",trilogy_admin,"Apr 25 2017 01:30:41:627AM",trilogy_admin,5,5
867,2,342,6,4,3,2,"Apr 25 2017 01:30:46:297AM",3,1,2,2,1,"Apr 25 2017 01:30:46:297AM",trilogy_admin,"Apr 25 2017 01:30:46:297AM",trilogy_admin,2,3
868,2,343,6,4,5,5,"Apr 25 2017 01:31:15:050AM",4,15,5,5,4,"Apr 25 2017 01:31:15:050AM",trilogy_admin,"Apr 25 2017 01:31:15:050AM",trilogy_admin,5,5
869,2,438,15,2,3,3,"Apr 25 2017 01:31:22:177AM",2,10,3,2,2,"Apr 25 2017 01:31:22:177AM",trilogy_admin,"Apr 25 2017 01:31:22:177AM",trilogy_admin,2,2
870,2,414,15,2,5,4,"Apr 25 2017 01:31:41:970AM",5,8,5,5,3,"Apr 25 2017 01:31:41:970AM",trilogy_admin,"Apr 25 2017 01:31:41:970AM",trilogy_admin,4,4
871,2,373,8,4,4,4,"Apr 25 2017 01:31:52:220AM",4,10,4,4,4,"Apr 25 2017 01:31:52:220AM",trilogy_admin,"Apr 25 2017 01:31:52:220AM",trilogy_admin,4,4
872,2,218,8,4,5,5,"Apr 25 2017 01:32:01:640AM",5,15,5,5,5,"Apr 25 2017 01:32:01:640AM",trilogy_admin,"Apr 25 2017 01:32:01:640AM",trilogy_admin,5,5
873,2,1014,6,4,2,5,"Apr 25 2017 01:32:05:770AM",5,10,5,5,1,"Apr 25 2017 01:32:05:770AM",trilogy_admin,"Apr 25 2017 01:32:05:770AM",trilogy_admin,5,5
874,2,423,15,2,5,5,"Apr 25 2017 01:32:28:783AM",4,6,5,5,4,"Apr 25 2017 01:32:28:783AM",trilogy_admin,"Apr 25 2017 01:32:28:783AM",trilogy_admin,3,5
875,2,432,15,2,5,5,"Apr 25 2017 01:32:44:993AM",2,4,5,5,5,"Apr 25 2017 01:32:44:993AM",trilogy_admin,"Apr 25 2017 01:32:44:993AM",trilogy_admin,5,5
876,2,344,6,4,1,1,"Apr 25 2017 01:32:47:780AM",5,20,5,1,1,"Apr 25 2017 01:32:47:780AM",trilogy_admin,"Apr 25 2017 01:32:47:780AM",trilogy_admin,1,3
877,2,519,21,2,5,5,"Apr 25 2017 01:32:54:593AM",5,25,5,5,4,"Apr 25 2017 01:32:54:593AM",trilogy_admin,"Apr 25 2017 01:32:54:593AM",trilogy_admin,5,5
878,2,214,8,4,5,5,"Apr 25 2017 01:33:20:547AM",5,15,5,5,5,"Apr 25 2017 01:33:20:547AM",trilogy_admin,"Apr 25 2017 01:33:20:547AM",trilogy_admin,5,5
879,2,1000,19,2,3,3,"Apr 25 2017 01:33:41:860AM",4,10,3,5,4,"Apr 25 2017 01:33:41:860AM",trilogy_admin,"Apr 25 2017 01:33:41:860AM",trilogy_admin,3,5
880,2,224,8,4,4,3,"Apr 25 2017 01:34:06:430AM",4,30,4,4,3,"Apr 25 2017 01:34:06:430AM",trilogy_admin,"Apr 25 2017 01:34:06:430AM",trilogy_admin,3,5
881,2,521,21,2,5,5,"Apr 25 2017 01:34:14:227AM",4,15,5,5,4,"Apr 25 2017 01:34:14:227AM",trilogy_admin,"Apr 25 2017 01:34:14:227AM",trilogy_admin,5,5
882,2,215,8,4,5,5,"Apr 25 2017 01:36:42:493AM",3,20,5,5,5,"Apr 25 2017 01:36:42:493AM",trilogy_admin,"Apr 25 2017 01:36:42:493AM",trilogy_admin,5,5
883,2,210,8,4,5,5,"Apr 25 2017 01:37:28:680AM",4,15,5,5,4,"Apr 25 2017 01:37:28:680AM",trilogy_admin,"Apr 25 2017 01:37:28:680AM",trilogy_admin,5,5
884,2,213,8,4,1,3,"Apr 25 2017 01:37:49:997AM",2,12,1,3,1,"Apr 25 2017 01:37:49:997AM",trilogy_admin,"Apr 25 2017 01:37:49:997AM",trilogy_admin,2,4
885,2,436,15,2,5,5,"Apr 25 2017 01:38:10:730AM",5,10,5,5,5,"Apr 25 2017 01:38:10:730AM",trilogy_admin,"Apr 25 2017 01:38:10:730AM",trilogy_admin,5,5
886,2,449,16,2,4,4,"Apr 25 2017 01:41:02:887AM",5,12,4,4,3,"Apr 25 2017 01:41:02:887AM",trilogy_admin,"Apr 25 2017 01:41:02:887AM",trilogy_admin,4,5
887,2,487,19,2,5,5,"Apr 25 2017 01:42:45:177AM",3,23,5,5,3,"Apr 25 2017 01:42:45:177AM",trilogy_admin,"Apr 25 2017 01:42:45:177AM",trilogy_admin,4,5
888,2,480,19,2,4,3,"Apr 25 2017 02:02:39:640AM",2,8,4,5,4,"Apr 25 2017 02:02:39:640AM",trilogy_admin,"Apr 25 2017 02:02:39:640AM",trilogy_admin,2,3
889,2,1365,22,2,4,5,"Apr 25 2017 02:23:18:203AM",2,35,3,4,4,"Apr 25 2017 02:23:18:203AM",trilogy_admin,"Apr 25 2017 02:23:18:203AM",trilogy_admin,5,5
890,2,494,19,2,5,4,"Apr 25 2017 02:28:56:300AM",4,20,4,4,4,"Apr 25 2017 02:28:56:300AM",trilogy_admin,"Apr 25 2017 02:28:56:300AM",trilogy_admin,5,4
891,2,501,19,2,4,5,"Apr 25 2017 02:34:39:727AM",5,15,5,5,4,"Apr 25 2017 02:34:39:727AM",trilogy_admin,"Apr 25 2017 02:34:39:727AM",trilogy_admin,4,5
892,2,569,22,2,5,5,"Apr 25 2017 02:55:25:480AM",5,17,4,5,4,"Apr 25 2017 02:55:25:480AM",trilogy_admin,"Apr 25 2017 02:55:25:480AM",trilogy_admin,5,5
893,2,522,21,2,5,5,"Apr 25 2017 03:00:43:997AM",5,8,4,5,4,"Apr 25 2017 03:00:43:997AM",trilogy_admin,"Apr 25 2017 03:00:43:997AM",trilogy_admin,4,5
894,2,311,11,4,4,3,"Apr 25 2017 03:18:26:563AM",2,3,4,4,5,"Apr 25 2017 03:18:26:563AM",trilogy_admin,"Apr 25 2017 03:18:26:563AM",trilogy_admin,2,4
895,2,235,9,4,4,5,"Apr 25 2017 03:43:05:570AM",5,25,3,4,3,"Apr 25 2017 03:43:05:570AM",trilogy_admin,"Apr 25 2017 03:43:05:570AM",trilogy_admin,5,5
896,2,241,9,4,5,5,"Apr 25 2017 03:56:27:847AM",3,24,4,5,4,"Apr 25 2017 03:56:27:847AM",trilogy_admin,"Apr 25 2017 03:56:27:847AM",trilogy_admin,5,5
897,2,498,19,2,4,4,"Apr 25 2017 03:59:24:100AM",5,15,4,3,3,"Apr 25 2017 03:59:24:100AM",trilogy_admin,"Apr 25 2017 03:59:24:100AM",trilogy_admin,4,5
898,2,537,21,2,5,4,"Apr 25 2017 04:11:15:737AM",2,10,4,4,5,"Apr 25 2017 04:11:15:737AM",trilogy_admin,"Apr 25 2017 04:11:15:737AM",trilogy_admin,4,5
899,2,841,9,4,4,5,"Apr 25 2017 04:11:49:820AM",3,12,4,4,3,"Apr 25 2017 04:11:49:820AM",trilogy_admin,"Apr 25 2017 04:11:49:820AM",trilogy_admin,5,5
900,2,1027,11,4,3,4,"Apr 25 2017 04:18:35:757AM",5,20,5,4,3,"Apr 25 2017 04:18:35:757AM",trilogy_admin,"Apr 25 2017 04:18:35:757AM",trilogy_admin,4,4
901,2,420,15,2,5,5,"Apr 25 2017 04:28:36:090AM",5,20,5,5,5,"Apr 25 2017 04:28:36:090AM",trilogy_admin,"Apr 25 2017 04:28:36:090AM",trilogy_admin,5,5
902,2,535,21,2,5,5,"Apr 25 2017 04:52:59:430AM",3,20,2,5,3,"Apr 25 2017 04:52:59:430AM",trilogy_admin,"Apr 25 2017 04:52:59:430AM",trilogy_admin,5,5
903,2,305,11,4,4,4,"Apr 25 2017 04:55:45:280AM",5,22,1,4,3,"Apr 25 2017 04:55:45:280AM",trilogy_admin,"Apr 25 2017 04:55:45:280AM",trilogy_admin,3,4
904,2,3919,19,2,5,5,"Apr 25 2017 05:50:41:447AM",5,40,5,5,5,"Apr 25 2017 05:50:41:447AM",trilogy_admin,"Apr 25 2017 05:50:41:447AM",trilogy_admin,5,5
905,2,425,21,2,3,5,"Apr 25 2017 07:35:06:627AM",5,20,4,4,4,"Apr 25 2017 07:35:06:627AM",trilogy_admin,"Apr 25 2017 07:35:06:627AM",trilogy_admin,5,5
906,2,240,9,4,4,4,"Apr 25 2017 08:06:03:767AM",3,20,4,4,4,"Apr 25 2017 08:06:03:767AM",trilogy_admin,"Apr 25 2017 08:06:03:767AM",trilogy_admin,4,4
907,2,506,20,2,4,5,"Apr 25 2017 12:14:00:353PM",4,16,3,5,4,"Apr 25 2017 12:14:00:353PM",trilogy_admin,"Apr 25 2017 12:14:00:353PM",trilogy_admin,4,4
908,2,188,12,4,4,4,"Apr 25 2017 12:43:16:423PM",3,10,4,5,2,"Apr 25 2017 12:43:16:423PM",trilogy_admin,"Apr 25 2017 12:43:16:423PM",trilogy_admin,4,5
909,2,182,12,4,4,4,"Apr 25 2017 12:45:11:237PM",5,30,4,4,3,"Apr 25 2017 12:45:11:237PM",trilogy_admin,"Apr 25 2017 12:45:11:237PM",trilogy_admin,4,5
910,2,985,20,2,5,5,"Apr 25 2017 01:17:50:527PM",3,20,1,5,2,"Apr 25 2017 01:17:50:527PM",trilogy_admin,"Apr 25 2017 01:17:50:527PM",trilogy_admin,2,5
911,2,75,3,6,5,5,"Apr 25 2017 02:01:04:183PM",5,4,5,5,5,"Apr 25 2017 02:01:04:183PM",trilogy_admin,"Apr 25 2017 02:01:04:183PM",trilogy_admin,5,5
912,2,370,12,4,5,5,"Apr 25 2017 02:53:54:750PM",1,5,2,5,5,"Apr 25 2017 02:53:54:750PM",trilogy_admin,"Apr 25 2017 02:53:54:750PM",trilogy_admin,5,5
913,2,288,11,4,5,5,"Apr 25 2017 03:15:12:260PM",2,20,2,5,5,"Apr 25 2017 03:15:12:260PM",trilogy_admin,"Apr 25 2017 03:15:12:260PM",trilogy_admin,5,5
914,2,314,11,4,4,4,"Apr 25 2017 03:37:06:850PM",4,15,2,4,2,"Apr 25 2017 03:37:06:850PM",trilogy_admin,"Apr 25 2017 03:37:06:850PM",trilogy_admin,5,5
915,2,559,22,2,4,5,"Apr 25 2017 03:58:46:297PM",4,20,3,4,4,"Apr 25 2017 03:58:46:297PM",trilogy_admin,"Apr 25 2017 03:58:46:297PM",trilogy_admin,3,5
916,2,587,23,2,5,5,"Apr 25 2017 04:55:58:897PM",5,10,4,5,4,"Apr 25 2017 04:55:58:897PM",trilogy_admin,"Apr 25 2017 04:55:58:897PM",trilogy_admin,5,5
917,2,247,9,4,3,4,"Apr 25 2017 04:56:23:183PM",4,25,5,4,1,"Apr 25 2017 04:56:23:183PM",trilogy_admin,"Apr 25 2017 04:56:23:183PM",trilogy_admin,4,5
918,2,73,3,6,2,3,"Apr 25 2017 05:09:35:787PM",1,5,4,3,1,"Apr 25 2017 05:09:35:787PM",trilogy_admin,"Apr 25 2017 05:09:35:787PM",trilogy_admin,2,3
919,2,289,11,4,4,4,"Apr 25 2017 05:52:33:323PM",4,25,4,3,3,"Apr 25 2017 05:52:33:323PM",trilogy_admin,"Apr 25 2017 05:52:33:323PM",trilogy_admin,4,5
920,2,355,7,4,5,5,"Apr 25 2017 05:52:52:923PM",5,5,5,5,3,"Apr 25 2017 05:52:52:923PM",trilogy_admin,"Apr 25 2017 05:52:52:923PM",trilogy_admin,5,5
921,2,64,3,6,4,5,"Apr 25 2017 06:49:24:137PM",4,8,4,5,3,"Apr 25 2017 06:49:24:137PM",trilogy_admin,"Apr 25 2017 06:49:24:137PM",trilogy_admin,5,5
922,2,2873,23,2,4,4,"Apr 25 2017 06:50:19:023PM",5,15,4,5,3,"Apr 25 2017 06:50:19:023PM",trilogy_admin,"Apr 25 2017 06:50:19:023PM",trilogy_admin,3,5
923,2,542,21,2,4,5,"Apr 25 2017 06:55:35:407PM",3,5,3,5,4,"Apr 25 2017 06:55:35:407PM",trilogy_admin,"Apr 25 2017 06:55:35:407PM",trilogy_admin,5,5
924,2,231,9,4,4,3,"Apr 25 2017 07:10:55:420PM",4,20,4,4,5,"Apr 25 2017 07:10:55:420PM",trilogy_admin,"Apr 25 2017 07:10:55:420PM",trilogy_admin,4,4
925,2,81,3,6,2,3,"Apr 25 2017 07:14:50:887PM",1,9,2,4,2,"Apr 25 2017 07:14:50:887PM",trilogy_admin,"Apr 25 2017 07:14:50:887PM",trilogy_admin,3,4
926,2,82,3,6,1,1,"Apr 25 2017 07:15:01:143PM",1,7,1,1,1,"Apr 25 2017 07:15:01:143PM",trilogy_admin,"Apr 25 2017 07:15:01:143PM",trilogy_admin,4,4
927,2,539,21,2,5,5,"Apr 25 2017 07:27:29:813PM",4,25,3,4,2,"Apr 25 2017 07:27:29:813PM",trilogy_admin,"Apr 25 2017 07:27:29:813PM",trilogy_admin,4,5
928,2,546,22,2,5,5,"Apr 25 2017 07:48:35:183PM",5,18,3,5,3,"Apr 25 2017 07:48:35:183PM",trilogy_admin,"Apr 25 2017 07:48:35:183PM",trilogy_admin,5,5
929,2,1032,20,2,3,3,"Apr 25 2017 08:19:59:927PM",1,1,2,2,4,"Apr 25 2017 08:19:59:927PM",trilogy_admin,"Apr 25 2017 08:19:59:927PM",trilogy_admin,1,2
930,2,585,23,2,5,4,"Apr 25 2017 08:20:30:257PM",3,10,5,3,3,"Apr 25 2017 08:20:30:257PM",trilogy_admin,"Apr 25 2017 08:20:30:257PM",trilogy_admin,4,5
931,2,353,7,4,2,3,"Apr 25 2017 08:42:02:860PM",4,20,5,2,1,"Apr 25 2017 08:42:02:860PM",trilogy_admin,"Apr 25 2017 08:42:02:860PM",trilogy_admin,2,5
932,2,512,20,2,5,4,"Apr 25 2017 08:42:06:883PM",4,18,4,5,3,"Apr 25 2017 08:42:06:883PM",trilogy_admin,"Apr 25 2017 08:42:06:883PM",trilogy_admin,5,5
933,2,175,12,4,5,5,"Apr 25 2017 08:46:47:750PM",5,30,5,5,5,"Apr 25 2017 08:46:47:750PM",trilogy_admin,"Apr 25 2017 08:46:47:750PM",trilogy_admin,5,5
934,2,185,12,4,4,5,"Apr 25 2017 09:19:16:210PM",3,7,3,4,3,"Apr 25 2017 09:19:16:210PM",trilogy_admin,"Apr 25 2017 09:19:16:210PM",trilogy_admin,4,5
935,2,133,3,6,5,5,"Apr 25 2017 09:41:20:870PM",2,6,5,5,2,"Apr 25 2017 09:41:20:870PM",trilogy_admin,"Apr 25 2017 09:41:20:870PM",trilogy_admin,5,5
936,2,998,19,2,5,5,"Apr 25 2017 09:44:40:297PM",5,20,5,5,4,"Apr 25 2017 09:44:40:297PM",trilogy_admin,"Apr 25 2017 09:44:40:297PM",trilogy_admin,5,5
937,2,372,12,4,4,4,"Apr 25 2017 09:54:29:023PM",4,6,4,4,4,"Apr 25 2017 09:54:29:023PM",trilogy_admin,"Apr 25 2017 09:54:29:023PM",trilogy_admin,4,4
938,2,371,12,4,5,5,"Apr 25 2017 09:56:43:070PM",4,15,5,5,3,"Apr 25 2017 09:56:43:070PM",trilogy_admin,"Apr 25 2017 09:56:43:070PM",trilogy_admin,5,5
939,2,178,12,4,4,4,"Apr 25 2017 10:00:27:570PM",5,8,4,4,2,"Apr 25 2017 10:00:27:570PM",trilogy_admin,"Apr 25 2017 10:00:27:570PM",trilogy_admin,5,5
940,2,85,3,6,3,5,"Apr 25 2017 10:02:07:000PM",5,10,5,5,1,"Apr 25 2017 10:02:07:000PM",trilogy_admin,"Apr 25 2017 10:02:07:000PM",trilogy_admin,5,5
941,2,196,12,4,5,5,"Apr 25 2017 10:02:48:970PM",4,25,5,5,5,"Apr 25 2017 10:02:48:970PM",trilogy_admin,"Apr 25 2017 10:02:48:970PM",trilogy_admin,5,5
942,2,562,22,2,3,3,"Apr 25 2017 10:06:14:557PM",4,10,5,4,3,"Apr 25 2017 10:06:14:557PM",trilogy_admin,"Apr 25 2017 10:06:14:557PM",trilogy_admin,3,5
943,2,136,3,6,5,5,"Apr 25 2017 10:08:18:600PM",5,10,3,5,2,"Apr 25 2017 10:08:18:600PM",trilogy_admin,"Apr 25 2017 10:08:18:600PM",trilogy_admin,5,5
944,2,70,3,6,5,5,"Apr 25 2017 10:09:14:183PM",5,20,5,5,5,"Apr 25 2017 10:09:14:183PM",trilogy_admin,"Apr 25 2017 10:09:14:183PM",trilogy_admin,5,5
945,2,514,20,2,5,5,"Apr 25 2017 10:12:19:720PM",5,20,3,4,3,"Apr 25 2017 10:12:19:720PM",trilogy_admin,"Apr 25 2017 10:12:19:720PM",trilogy_admin,5,5
946,2,575,23,2,5,5,"Apr 25 2017 10:13:40:673PM",5,12,5,5,2,"Apr 25 2017 10:13:40:673PM",trilogy_admin,"Apr 25 2017 10:13:40:673PM",trilogy_admin,5,5
947,2,192,12,4,5,5,"Apr 25 2017 10:14:45:263PM",5,1,5,5,5,"Apr 25 2017 10:14:45:263PM",trilogy_admin,"Apr 25 2017 10:14:45:263PM",trilogy_admin,5,5
948,2,77,3,6,5,5,"Apr 25 2017 10:15:14:007PM",5,20,5,5,5,"Apr 25 2017 10:15:14:007PM",trilogy_admin,"Apr 25 2017 10:15:14:007PM",trilogy_admin,5,5
949,2,88,3,6,5,5,"Apr 25 2017 10:17:30:513PM",5,10,5,5,5,"Apr 25 2017 10:17:30:513PM",trilogy_admin,"Apr 25 2017 10:17:30:513PM",trilogy_admin,5,5
950,2,65,3,6,4,3,"Apr 25 2017 10:18:30:310PM",4,20,4,4,4,"Apr 25 2017 10:18:30:310PM",trilogy_admin,"Apr 25 2017 10:18:30:310PM",trilogy_admin,4,4
951,2,1321,23,2,5,5,"Apr 25 2017 10:18:33:020PM",5,20,5,5,5,"Apr 25 2017 10:18:33:020PM",trilogy_admin,"Apr 25 2017 10:18:33:020PM",trilogy_admin,5,5
952,2,63,3,6,4,4,"Apr 25 2017 10:19:04:730PM",4,10,4,4,4,"Apr 25 2017 10:19:04:730PM",trilogy_admin,"Apr 25 2017 10:19:04:730PM",trilogy_admin,4,4
953,2,72,3,6,4,4,"Apr 25 2017 10:19:16:740PM",4,22,4,5,4,"Apr 25 2017 10:19:16:740PM",trilogy_admin,"Apr 25 2017 10:19:16:740PM",trilogy_admin,4,4
954,2,1373,23,2,5,5,"Apr 25 2017 10:19:16:817PM",3,25,5,5,3,"Apr 25 2017 10:19:16:817PM",trilogy_admin,"Apr 25 2017 10:19:16:817PM",trilogy_admin,5,5
955,2,66,3,6,2,2,"Apr 25 2017 10:26:53:813PM",2,20,2,2,2,"Apr 25 2017 10:26:53:813PM",trilogy_admin,"Apr 25 2017 10:26:53:813PM",trilogy_admin,3,2
956,2,1035,23,2,5,5,"Apr 25 2017 10:26:55:123PM",5,20,5,5,5,"Apr 25 2017 10:26:55:123PM",trilogy_admin,"Apr 25 2017 10:26:55:123PM",trilogy_admin,5,5
957,2,180,12,4,4,5,"Apr 25 2017 10:27:01:680PM",4,15,4,5,3,"Apr 25 2017 10:27:01:680PM",trilogy_admin,"Apr 25 2017 10:27:01:680PM",trilogy_admin,5,5
958,2,511,20,2,5,4,"Apr 25 2017 10:27:31:840PM",4,18,4,4,3,"Apr 25 2017 10:27:31:840PM",trilogy_admin,"Apr 25 2017 10:27:31:840PM",trilogy_admin,4,5
959,2,86,3,6,2,1,"Apr 25 2017 10:27:34:697PM",1,8,2,1,2,"Apr 25 2017 10:27:34:697PM",trilogy_admin,"Apr 25 2017 10:27:34:697PM",trilogy_admin,1,1
960,2,579,23,2,5,5,"Apr 25 2017 10:28:01:320PM",1,4,4,5,5,"Apr 25 2017 10:28:01:320PM",trilogy_admin,"Apr 25 2017 10:28:01:320PM",trilogy_admin,5,5
961,2,312,11,4,5,5,"Apr 25 2017 10:30:15:940PM",5,15,5,5,4,"Apr 25 2017 10:30:15:940PM",trilogy_admin,"Apr 25 2017 10:30:15:940PM",trilogy_admin,5,5
962,2,508,20,2,4,2,"Apr 25 2017 10:30:16:503PM",2,15,5,4,2,"Apr 25 2017 10:30:16:503PM",trilogy_admin,"Apr 25 2017 10:30:16:503PM",trilogy_admin,3,4
963,2,516,20,2,5,5,"Apr 25 2017 10:31:32:740PM",5,15,5,4,4,"Apr 25 2017 10:31:32:740PM",trilogy_admin,"Apr 25 2017 10:31:32:740PM",trilogy_admin,4,5
